data,hora,mensagem,ponto,linha,horario_ideal,atraso_minutos,datetime
20/05/2025,06:46,Linha 15 de 6h30 ta na feira,feira,15,06:33,13.0,2025-05-20 06:46:00
20/05/2025,06:59,praça,praça das corujas,15A,06:45,14.0,2025-05-20 06:59:00
20/05/2025,07:17,Chegando na UFOB,ufob,15A,07:10,7.0,2025-05-20 07:17:00
20/05/2025,07:18,Saindo da praça,praça das corujas,15A,07:00,18.0,2025-05-20 07:18:00
20/05/2025,08:43,Indo para a Praça,praça das corujas,15A,08:00,43.0,2025-05-20 08:43:00
20/05/2025,10:25,Saindo agora,,15,,,2025-05-20 10:25:00
20/05/2025,10:33,Tá na feira,feira,15,09:58,35.0,2025-05-20 10:33:00
20/05/2025,11:57,Saindo da Praça das corujas,praça das corujas,15A,10:30,87.0,2025-05-20 11:57:00
20/05/2025,15:22,"uai, já chegou na ufob",ufob,15A,14:15,67.0,2025-05-20 15:22:00
20/05/2025,15:22,passou as 15h lá na feira,feira,15,14:03,79.0,2025-05-20 15:22:00
20/05/2025,18:33,15A na feira,feira,15,18:13,20.0,2025-05-20 18:33:00
21/05/2025,06:39,Chegando na feira,feira,15,06:33,6.0,2025-05-21 06:39:00
21/05/2025,08:44,Na praça das corujas,praça das corujas,15A,08:00,44.0,2025-05-21 08:44:00
21/05/2025,10:32,Na feira,feira,15,09:58,34.0,2025-05-21 10:32:00
21/05/2025,13:12,Na feira,feira,15,11:53,79.0,2025-05-21 13:12:00
21/05/2025,14:48,acabou de sair da praça das corujas,praça das corujas,15A,13:50,58.0,2025-05-21 14:48:00
21/05/2025,16:34,Chegando na feira,feira,15,15:33,61.0,2025-05-21 16:34:00
21/05/2025,18:16,Na praça,praça das corujas,15A,18:00,16.0,2025-05-21 18:16:00
21/05/2025,18:23,O 9 tá na feira,feira,15,18:13,10.0,2025-05-21 18:23:00
23/05/2025,08:39,Já estão na feira,feira,15,08:18,21.0,2025-05-23 08:39:00
23/05/2025,11:55,Na praça das corujas,praça das corujas,15A,10:30,85.0,2025-05-23 11:55:00
23/05/2025,16:32,15A saindo da UFOB,ufob,15A,15:25,67.0,2025-05-23 16:32:00
23/05/2025,16:33,15saindo da praça,praça das corujas,15A,16:10,23.0,2025-05-23 16:33:00
23/05/2025,18:32,15A passando na feira,feira,15,18:13,19.0,2025-05-23 18:32:00
24/05/2025,07:10,vai passar na praça agora,praça das corujas,15A,07:00,10.0,2025-05-24 07:10:00
